"year_loc","layer","KL","LL"
"2016-NEH4",10,0.00991793329329519,0.22656246325
"2016-NYH1",1,0.06,0.118096978
"2016-NYH1",2,0.0491238451846789,0.118096978
"2016-NYH1",3,0.0402192027621384,0.135076081
"2016-NYH1",4,0.0329286981656416,0.104023108
"2016-NYH1",5,0.0269597378470333,0.104023108
"2016-NYH1",6,0.0220727664702865,0.104023108
"2016-NYH1",7,0.0180716527147321,0.103964626
"2016-NYH1",8,0.0147958178364964,0.103964626
"2016-NYH1",9,0.0121137910796793,0.103964626
"2016-NYH1",10,0.00991793329329519,0.103964626
"2016-NYH2",1,0.06,0.117874222
"2016-NYH2",2,0.0491238451846789,0.117874222
"2016-NYH2",3,0.0402192027621384,0.133849669
"2016-NYH2",4,0.0329286981656416,0.133849669
"2016-NYH2",5,0.0269597378470333,0.133849669
"2016-NYH2",6,0.0220727664702865,0.133849669
"2016-NYH2",7,0.0180716527147321,0.103964626
"2016-NYH2",8,0.0147958178364964,0.103964626
"2016-NYH2",9,0.0121137910796793,0.103964626
"2016-NYH2",10,0.00991793329329519,0.103964626
"2016-NYH2L",1,0.06,0.117874222
"2016-NYH2L",2,0.0491238451846789,0.117874222
"2016-NYH2L",3,0.0402192027621384,0.133849669
"2016-NYH2L",4,0.0329286981656416,0.133849669
"2016-NYH2L",5,0.0269597378470333,0.133849669
"2016-NYH2L",6,0.0220727664702865,0.133849669
"2016-NYH2L",7,0.0180716527147321,0.103964626
"2016-NYH2L",8,0.0147958178364964,0.103964626
"2016-NYH2L",9,0.0121137910796793,0.103964626
"2016-NYH2L",10,0.00991793329329519,0.103964626
"2016-TXH1",1,0.06,0.3934129915
"2016-TXH1",2,0.0491238451846789,0.3934129915
"2016-TXH1",3,0.0402192027621384,0.3934129915
"2016-TXH1",4,0.0329286981656416,0.3934129915
"2016-TXH1",5,0.0269597378470333,0.3822053095
"2016-TXH1",6,0.0220727664702865,0.3822053095
"2016-TXH1",7,0.0180716527147321,0.3822053095
"2016-TXH1",8,0.0147958178364964,0.3822053095
"2016-TXH1",9,0.0121137910796793,0.354318601
"2016-TXH1",10,0.00991793329329519,0.354318601
"2016-TXH2",1,0.06,0.3934129915
"2016-TXH2",2,0.0491238451846789,0.3934129915
"2016-TXH2",3,0.0402192027621384,0.3934129915
"2016-TXH2",4,0.0329286981656416,0.3934129915
"2016-TXH2",5,0.0269597378470333,0.3822053095
"2016-TXH2",6,0.0220727664702865,0.3822053095
"2016-TXH2",7,0.0180716527147321,0.3822053095
"2016-TXH2",8,0.0147958178364964,0.3822053095
"2016-TXH2",9,0.0121137910796793,0.354318601
"2016-TXH2",10,0.00991793329329519,0.354318601
"2016-WIH1",1,0.06,0.1399648
"2016-WIH1",2,0.0491238451846789,0.1399648
"2016-WIH1",3,0.0402192027621384,0.1399648
"2016-WIH1",4,0.0329286981656416,0.1399648
"2016-WIH1",5,0.0269597378470333,0.187360699
"2016-WIH1",6,0.0220727664702865,0.187360699
"2016-WIH1",7,0.0180716527147321,0.16033988605
"2016-WIH1",8,0.0147958178364964,0.16033988605
"2016-WIH1",9,0.0121137910796793,0.0094954765
"2016-WIH1",10,0.00991793329329519,0.0094954765
"2016-WIH2",1,0.06,0.13974193
"2016-WIH2",2,0.0491238451846789,0.13974193
"2016-WIH2",3,0.0402192027621384,0.13974193
"2016-WIH2",4,0.0329286981656416,0.18167683
"2016-WIH2",5,0.0269597378470333,0.18167683
"2016-WIH2",6,0.0220727664702865,0.138965077
"2016-WIH2",7,0.0180716527147321,0.138965077
"2016-WIH2",8,0.0147958178364964,0.138965077
"2016-WIH2",9,0.0121137910796793,0.0706158355
"2016-WIH2",10,0.00991793329329519,0.0706158355
"2017-COH1",1,0.06,0.115574386
"2017-COH1",2,0.0491238451846789,0.192029911
"2017-COH1",3,0.0402192027621384,0.192029911
"2017-COH1",4,0.0329286981656416,0.1273489957
"2017-COH1",5,0.0269597378470333,0.1273489957
"2017-COH1",6,0.0220727664702865,0.1273489957
"2017-COH1",7,0.0180716527147321,0.1273489957
"2017-COH1",8,0.0147958178364964,0.1273489957
"2017-COH1",9,0.0121137910796793,0.1273489957
"2017-COH1",10,0.00991793329329519,0.1273489957
"2017-DEH1",1,0.06,0.023644216
"2017-DEH1",2,0.0491238451846789,0.023644216
"2017-DEH1",3,0.0402192027621384,0.023397178
"2017-DEH1",4,0.0329286981656416,0.023397178
"2017-DEH1",5,0.0269597378470333,0.023397178
"2017-DEH1",6,0.0220727664702865,0.0176788696
"2017-DEH1",7,0.0180716527147321,0.0176788696
"2017-DEH1",8,0.0147958178364964,0.0176788696
"2017-DEH1",9,0.0121137910796793,0.0176788696
"2017-DEH1",10,0.00991793329329519,0.0102399592
"2017-GAH1",1,0.06,0.0327490483
"2017-GAH1",2,0.0491238451846789,0.0327490483
"2017-GAH1",3,0.0402192027621384,0.115037104
"2017-GAH1",4,0.0329286981656416,0.115037104
"2017-GAH1",5,0.0269597378470333,0.16119195625
"2017-GAH1",6,0.0220727664702865,0.16119195625
"2017-GAH1",7,0.0180716527147321,0.166572888376
"2017-GAH1",8,0.0147958178364964,0.178755694456
"2017-GAH1",9,0.0121137910796793,0.21193548976
"2017-GAH1",10,0.00991793329329519,0.1763256244
"2017-GAH2",1,0.06,0.08842312
